seed,score,is_win,csv_path
62,2126,True,pacman_data_seeds_mediumClassic_depth3/game_61.csv
24,2119,True,pacman_data_seeds_mediumClassic_depth3/game_23.csv
29,2116,True,pacman_data_seeds_mediumClassic_depth3/game_28.csv
10,2113,True,pacman_data_seeds_mediumClassic_depth3/game_9.csv
94,2089,True,pacman_data_seeds_mediumClassic_depth3/game_93.csv
52,2082,True,pacman_data_seeds_mediumClassic_depth3/game_51.csv
42,2053,True,pacman_data_seeds_mediumClassic_depth3/game_41.csv
89,2039,True,pacman_data_seeds_mediumClassic_depth3/game_88.csv
100,1927,True,pacman_data_seeds_mediumClassic_depth3/game_99.csv
6,1920,True,pacman_data_seeds_mediumClassic_depth3/game_5.csv
2,1911,True,pacman_data_seeds_mediumClassic_depth3/game_1.csv
99,1908,True,pacman_data_seeds_mediumClassic_depth3/game_98.csv
80,1907,True,pacman_data_seeds_mediumClassic_depth3/game_79.csv
93,1882,True,pacman_data_seeds_mediumClassic_depth3/game_92.csv
56,1878,True,pacman_data_seeds_mediumClassic_depth3/game_55.csv
15,1855,True,pacman_data_seeds_mediumClassic_depth3/game_14.csv
75,1849,True,pacman_data_seeds_mediumClassic_depth3/game_74.csv
76,1836,True,pacman_data_seeds_mediumClassic_depth3/game_75.csv
3,1733,True,pacman_data_seeds_mediumClassic_depth3/game_2.csv
13,1729,True,pacman_data_seeds_mediumClassic_depth3/game_12.csv
43,1707,True,pacman_data_seeds_mediumClassic_depth3/game_42.csv
65,1683,True,pacman_data_seeds_mediumClassic_depth3/game_64.csv
50,1623,True,pacman_data_seeds_mediumClassic_depth3/game_49.csv
74,1608,True,pacman_data_seeds_mediumClassic_depth3/game_73.csv
68,1571,True,pacman_data_seeds_mediumClassic_depth3/game_67.csv
88,1536,True,pacman_data_seeds_mediumClassic_depth3/game_87.csv
49,1516,True,pacman_data_seeds_mediumClassic_depth3/game_48.csv
18,1454,True,pacman_data_seeds_mediumClassic_depth3/game_17.csv
32,1433,True,pacman_data_seeds_mediumClassic_depth3/game_31.csv
28,1261,True,pacman_data_seeds_mediumClassic_depth3/game_27.csv
9,1066,False,pacman_data_seeds_mediumClassic_depth3/game_8.csv
61,1063,False,pacman_data_seeds_mediumClassic_depth3/game_60.csv
5,1059,False,pacman_data_seeds_mediumClassic_depth3/game_4.csv
60,1057,False,pacman_data_seeds_mediumClassic_depth3/game_59.csv
17,1039,False,pacman_data_seeds_mediumClassic_depth3/game_16.csv
66,1015,False,pacman_data_seeds_mediumClassic_depth3/game_65.csv
27,1010,False,pacman_data_seeds_mediumClassic_depth3/game_26.csv
86,992,False,pacman_data_seeds_mediumClassic_depth3/game_85.csv
70,981,False,pacman_data_seeds_mediumClassic_depth3/game_69.csv
53,945,False,pacman_data_seeds_mediumClassic_depth3/game_52.csv
40,907,False,pacman_data_seeds_mediumClassic_depth3/game_39.csv
37,890,False,pacman_data_seeds_mediumClassic_depth3/game_36.csv
34,880,False,pacman_data_seeds_mediumClassic_depth3/game_33.csv
92,849,False,pacman_data_seeds_mediumClassic_depth3/game_91.csv
1,841,False,pacman_data_seeds_mediumClassic_depth3/game_0.csv
31,838,False,pacman_data_seeds_mediumClassic_depth3/game_30.csv
91,836,False,pacman_data_seeds_mediumClassic_depth3/game_90.csv
79,833,False,pacman_data_seeds_mediumClassic_depth3/game_78.csv
26,821,False,pacman_data_seeds_mediumClassic_depth3/game_25.csv
23,803,False,pacman_data_seeds_mediumClassic_depth3/game_22.csv
78,797,False,pacman_data_seeds_mediumClassic_depth3/game_77.csv
39,794,False,pacman_data_seeds_mediumClassic_depth3/game_38.csv
85,794,False,pacman_data_seeds_mediumClassic_depth3/game_84.csv
55,780,False,pacman_data_seeds_mediumClassic_depth3/game_54.csv
4,726,False,pacman_data_seeds_mediumClassic_depth3/game_3.csv
69,725,False,pacman_data_seeds_mediumClassic_depth3/game_68.csv
12,698,False,pacman_data_seeds_mediumClassic_depth3/game_11.csv
57,678,False,pacman_data_seeds_mediumClassic_depth3/game_56.csv
11,677,False,pacman_data_seeds_mediumClassic_depth3/game_10.csv
48,677,False,pacman_data_seeds_mediumClassic_depth3/game_47.csv
33,669,False,pacman_data_seeds_mediumClassic_depth3/game_32.csv
19,668,False,pacman_data_seeds_mediumClassic_depth3/game_18.csv
16,635,False,pacman_data_seeds_mediumClassic_depth3/game_15.csv
96,631,False,pacman_data_seeds_mediumClassic_depth3/game_95.csv
90,602,False,pacman_data_seeds_mediumClassic_depth3/game_89.csv
73,600,False,pacman_data_seeds_mediumClassic_depth3/game_72.csv
14,593,False,pacman_data_seeds_mediumClassic_depth3/game_13.csv
22,454,False,pacman_data_seeds_mediumClassic_depth3/game_21.csv
30,420,False,pacman_data_seeds_mediumClassic_depth3/game_29.csv
8,406,False,pacman_data_seeds_mediumClassic_depth3/game_7.csv
7,402,False,pacman_data_seeds_mediumClassic_depth3/game_6.csv
54,397,False,pacman_data_seeds_mediumClassic_depth3/game_53.csv
44,384,False,pacman_data_seeds_mediumClassic_depth3/game_43.csv
83,293,False,pacman_data_seeds_mediumClassic_depth3/game_82.csv
21,266,False,pacman_data_seeds_mediumClassic_depth3/game_20.csv
98,247,False,pacman_data_seeds_mediumClassic_depth3/game_97.csv
35,222,False,pacman_data_seeds_mediumClassic_depth3/game_34.csv
95,214,False,pacman_data_seeds_mediumClassic_depth3/game_94.csv
46,193,False,pacman_data_seeds_mediumClassic_depth3/game_45.csv
72,189,False,pacman_data_seeds_mediumClassic_depth3/game_71.csv
71,188,False,pacman_data_seeds_mediumClassic_depth3/game_70.csv
45,172,False,pacman_data_seeds_mediumClassic_depth3/game_44.csv
36,147,False,pacman_data_seeds_mediumClassic_depth3/game_35.csv
63,145,False,pacman_data_seeds_mediumClassic_depth3/game_62.csv
97,119,False,pacman_data_seeds_mediumClassic_depth3/game_96.csv
25,118,False,pacman_data_seeds_mediumClassic_depth3/game_24.csv
87,87,False,pacman_data_seeds_mediumClassic_depth3/game_86.csv
64,78,False,pacman_data_seeds_mediumClassic_depth3/game_63.csv
41,-6,False,pacman_data_seeds_mediumClassic_depth3/game_40.csv
38,-137,False,pacman_data_seeds_mediumClassic_depth3/game_37.csv
59,-180,False,pacman_data_seeds_mediumClassic_depth3/game_58.csv
84,-219,False,pacman_data_seeds_mediumClassic_depth3/game_83.csv
51,-249,False,pacman_data_seeds_mediumClassic_depth3/game_50.csv
47,-267,False,pacman_data_seeds_mediumClassic_depth3/game_46.csv
82,-285,False,pacman_data_seeds_mediumClassic_depth3/game_81.csv
20,-297,False,pacman_data_seeds_mediumClassic_depth3/game_19.csv
67,-312,False,pacman_data_seeds_mediumClassic_depth3/game_66.csv
77,-312,False,pacman_data_seeds_mediumClassic_depth3/game_76.csv
81,-366,False,pacman_data_seeds_mediumClassic_depth3/game_80.csv
